"latitude","longitude","time"
41.221732,-105.314975,2014-07-26 17:36:42+00:00
41.221755,-105.314949,2014-07-26 17:36:43+00:00
41.221776,-105.314921,2014-07-26 17:36:44+00:00
41.221795,-105.314891,2014-07-26 17:36:45+00:00
41.22181,-105.314861,2014-07-26 17:36:46+00:00
41.221828,-105.314795,2014-07-26 17:36:48+00:00
41.221829,-105.314726,2014-07-26 17:36:50+00:00
41.221816,-105.314691,2014-07-26 17:36:51+00:00
41.221795,-105.314656,2014-07-26 17:36:52+00:00
41.221772,-105.314619,2014-07-26 17:36:53+00:00
41.221747,-105.314583,2014-07-26 17:36:54+00:00
41.221722,-105.314543,2014-07-26 17:36:55+00:00
41.2217,-105.314498,2014-07-26 17:36:56+00:00
41.221677,-105.314453,2014-07-26 17:36:57+00:00
41.221646,-105.314414,2014-07-26 17:36:58+00:00
41.221613,-105.31438,2014-07-26 17:36:59+00:00
41.221579,-105.314345,2014-07-26 17:37:00+00:00
41.221554,-105.314302,2014-07-26 17:37:01+00:00
41.221535,-105.314248,2014-07-26 17:37:02+00:00
41.221519,-105.314189,2014-07-26 17:37:03+00:00
41.221505,-105.31413,2014-07-26 17:37:04+00:00
41.221487,-105.314082,2014-07-26 17:37:05+00:00
41.221461,-105.314043,2014-07-26 17:37:06+00:00
41.221431,-105.314008,2014-07-26 17:37:07+00:00
41.221398,-105.313971,2014-07-26 17:37:08+00:00
41.221366,-105.313929,2014-07-26 17:37:09+00:00
41.221331,-105.313889,2014-07-26 17:37:10+00:00
41.221292,-105.313856,2014-07-26 17:37:11+00:00
41.22125,-105.313825,2014-07-26 17:37:12+00:00
41.22121,-105.313793,2014-07-26 17:37:13+00:00
41.221172,-105.313765,2014-07-26 17:37:14+00:00
41.221134,-105.313743,2014-07-26 17:37:15+00:00
41.221097,-105.313723,2014-07-26 17:37:16+00:00
41.221063,-105.313701,2014-07-26 17:37:17+00:00
41.22103,-105.313679,2014-07-26 17:37:18+00:00
41.220994,-105.313658,2014-07-26 17:37:19+00:00
41.220955,-105.313639,2014-07-26 17:37:20+00:00
41.220913,-105.313615,2014-07-26 17:37:21+00:00
41.22087,-105.313588,2014-07-26 17:37:22+00:00
41.220827,-105.313554,2014-07-26 17:37:23+00:00
41.220793,-105.313509,2014-07-26 17:37:24+00:00
41.220771,-105.313451,2014-07-26 17:37:25+00:00
41.220757,-105.31339,2014-07-26 17:37:26+00:00
41.220746,-105.313329,2014-07-26 17:37:27+00:00
41.220737,-105.313269,2014-07-26 17:37:28+00:00
41.220732,-105.313211,2014-07-26 17:37:29+00:00
41.220731,-105.313152,2014-07-26 17:37:30+00:00
41.220732,-105.313093,2014-07-26 17:37:31+00:00
41.220733,-105.313031,2014-07-26 17:37:32+00:00
41.220735,-105.312966,2014-07-26 17:37:33+00:00
41.22074,-105.312901,2014-07-26 17:37:34+00:00
41.220749,-105.31284,2014-07-26 17:37:35+00:00
41.220758,-105.312783,2014-07-26 17:37:36+00:00
41.220767,-105.312729,2014-07-26 17:37:37+00:00
41.220771,-105.312677,2014-07-26 17:37:38+00:00
41.22077,-105.312628,2014-07-26 17:37:39+00:00
41.220764,-105.312585,2014-07-26 17:37:40+00:00
41.220755,-105.312537,2014-07-26 17:37:42+00:00
41.220785,-105.312497,2014-07-26 17:37:45+00:00
41.220825,-105.31249,2014-07-26 17:37:47+00:00
41.22087,-105.312513,2014-07-26 17:37:49+00:00
41.220915,-105.312513,2014-07-26 17:37:51+00:00
41.220921,-105.312463,2014-07-26 17:37:53+00:00
41.2209,-105.312438,2014-07-26 17:37:54+00:00
41.220869,-105.312413,2014-07-26 17:37:55+00:00
41.220835,-105.312388,2014-07-26 17:37:56+00:00
41.220799,-105.312365,2014-07-26 17:37:57+00:00
41.220772,-105.312334,2014-07-26 17:37:58+00:00
41.220756,-105.312292,2014-07-26 17:37:59+00:00
41.220745,-105.312248,2014-07-26 17:38:00+00:00
41.220734,-105.312206,2014-07-26 17:38:01+00:00
41.22072,-105.312169,2014-07-26 17:38:02+00:00
41.220709,-105.312125,2014-07-26 17:38:03+00:00
41.220701,-105.312075,2014-07-26 17:38:04+00:00
41.220694,-105.312021,2014-07-26 17:38:05+00:00
41.220689,-105.311966,2014-07-26 17:38:06+00:00
41.22069,-105.311906,2014-07-26 17:38:07+00:00
41.220699,-105.311842,2014-07-26 17:38:09+00:00
41.220734,-105.311705,2014-07-26 17:38:10+00:00
41.220761,-105.311642,2014-07-26 17:38:11+00:00
41.22079,-105.311582,2014-07-26 17:38:12+00:00
41.220819,-105.311521,2014-07-26 17:38:13+00:00
41.220846,-105.311459,2014-07-26 17:38:14+00:00
41.220876,-105.311397,2014-07-26 17:38:15+00:00
41.220924,-105.311313,2014-07-26 17:38:16+00:00
41.220953,-105.311257,2014-07-26 17:38:17+00:00
41.220975,-105.311204,2014-07-26 17:38:18+00:00
41.221,-105.311144,2014-07-26 17:38:19+00:00
41.221019,-105.311079,2014-07-26 17:38:20+00:00
41.221042,-105.311023,2014-07-26 17:38:21+00:00
41.221059,-105.310967,2014-07-26 17:38:22+00:00
41.221105,-105.310908,2014-07-26 17:38:23+00:00
41.221135,-105.310873,2014-07-26 17:38:24+00:00
41.221167,-105.310836,2014-07-26 17:38:25+00:00
41.221187,-105.310798,2014-07-26 17:38:26+00:00
41.221219,-105.310783,2014-07-26 17:38:27+00:00
41.221247,-105.310741,2014-07-26 17:38:28+00:00
41.221272,-105.310693,2014-07-26 17:38:29+00:00
41.221294,-105.31064,2014-07-26 17:38:30+00:00
41.221308,-105.3106,2014-07-26 17:38:31+00:00
41.221329,-105.310556,2014-07-26 17:38:32+00:00
41.221346,-105.310492,2014-07-26 17:38:33+00:00
41.221367,-105.310436,2014-07-26 17:38:34+00:00
41.221392,-105.310383,2014-07-26 17:38:35+00:00
41.221423,-105.310334,2014-07-26 17:38:36+00:00
41.221447,-105.310295,2014-07-26 17:38:37+00:00
41.221488,-105.310239,2014-07-26 17:38:38+00:00
41.221518,-105.310177,2014-07-26 17:38:39+00:00
41.221555,-105.310111,2014-07-26 17:38:40+00:00
41.221584,-105.31004,2014-07-26 17:38:41+00:00
41.221606,-105.309975,2014-07-26 17:38:42+00:00
41.221645,-105.30991,2014-07-26 17:38:43+00:00
41.221674,-105.309838,2014-07-26 17:38:44+00:00
41.221703,-105.309764,2014-07-26 17:38:45+00:00
41.221732,-105.309693,2014-07-26 17:38:46+00:00
41.221751,-105.309627,2014-07-26 17:38:47+00:00
41.221773,-105.309548,2014-07-26 17:38:48+00:00
41.2218,-105.30948,2014-07-26 17:38:49+00:00
41.221808,-105.30942,2014-07-26 17:38:50+00:00
41.221819,-105.309347,2014-07-26 17:38:51+00:00
41.221835,-105.309291,2014-07-26 17:38:52+00:00
41.221861,-105.309225,2014-07-26 17:38:53+00:00
41.221882,-105.309152,2014-07-26 17:38:54+00:00
41.221897,-105.309082,2014-07-26 17:38:55+00:00
41.221924,-105.309029,2014-07-26 17:38:56+00:00
41.221939,-105.308985,2014-07-26 17:38:57+00:00
41.221953,-105.308949,2014-07-26 17:38:58+00:00
41.221967,-105.308911,2014-07-26 17:38:59+00:00
41.221981,-105.308866,2014-07-26 17:39:00+00:00
41.222012,-105.308775,2014-07-26 17:39:02+00:00
41.222018,-105.308734,2014-07-26 17:39:03+00:00
41.222035,-105.308685,2014-07-26 17:39:04+00:00
41.222049,-105.308638,2014-07-26 17:39:05+00:00
41.222067,-105.308586,2014-07-26 17:39:06+00:00
41.222107,-105.308542,2014-07-26 17:39:07+00:00
41.222133,-105.308497,2014-07-26 17:39:08+00:00
41.222164,-105.308464,2014-07-26 17:39:09+00:00
41.222194,-105.308409,2014-07-26 17:39:10+00:00
41.222211,-105.308356,2014-07-26 17:39:11+00:00
41.222241,-105.308293,2014-07-26 17:39:12+00:00
41.22226,-105.308233,2014-07-26 17:39:13+00:00
41.222285,-105.30817,2014-07-26 17:39:14+00:00
41.222304,-105.308121,2014-07-26 17:39:15+00:00
41.222333,-105.308069,2014-07-26 17:39:16+00:00
41.222356,-105.308014,2014-07-26 17:39:17+00:00
41.222386,-105.30796,2014-07-26 17:39:18+00:00
41.222405,-105.307897,2014-07-26 17:39:19+00:00
41.222432,-105.307837,2014-07-26 17:39:20+00:00
41.222448,-105.307772,2014-07-26 17:39:21+00:00
41.222465,-105.307703,2014-07-26 17:39:22+00:00
41.222488,-105.307627,2014-07-26 17:39:23+00:00
41.22251,-105.307551,2014-07-26 17:39:24+00:00
41.222531,-105.307474,2014-07-26 17:39:25+00:00
41.222549,-105.307387,2014-07-26 17:39:26+00:00
41.222577,-105.3073,2014-07-26 17:39:27+00:00
41.222596,-105.307216,2014-07-26 17:39:28+00:00
41.222628,-105.307133,2014-07-26 17:39:29+00:00
41.222647,-105.30703,2014-07-26 17:39:30+00:00
41.222682,-105.306964,2014-07-26 17:39:31+00:00
41.222701,-105.306886,2014-07-26 17:39:32+00:00
41.222719,-105.306807,2014-07-26 17:39:33+00:00
41.222742,-105.306733,2014-07-26 17:39:34+00:00
41.22277,-105.30665,2014-07-26 17:39:35+00:00
41.222774,-105.306581,2014-07-26 17:39:36+00:00
41.222793,-105.306519,2014-07-26 17:39:37+00:00
41.222804,-105.306436,2014-07-26 17:39:38+00:00
41.22282,-105.306363,2014-07-26 17:39:39+00:00
41.222821,-105.30629,2014-07-26 17:39:40+00:00
41.222817,-105.306227,2014-07-26 17:39:41+00:00
41.222824,-105.306164,2014-07-26 17:39:42+00:00
41.222829,-105.306096,2014-07-26 17:39:43+00:00
41.222828,-105.306041,2014-07-26 17:39:44+00:00
41.222814,-105.305994,2014-07-26 17:39:45+00:00
41.222805,-105.305948,2014-07-26 17:39:46+00:00
41.222805,-105.305898,2014-07-26 17:39:47+00:00
41.222801,-105.305853,2014-07-26 17:39:48+00:00
41.222809,-105.305803,2014-07-26 17:39:49+00:00
41.222805,-105.305756,2014-07-26 17:39:50+00:00
41.222807,-105.305703,2014-07-26 17:39:52+00:00
